frame,elapsed_ms
0,16.681384
1,16.705929
2,16.559286
3,16.814365
4,16.617199
5,16.701512
6,16.600805
7,16.731231
8,16.532968
9,17.022087
10,16.438688
11,16.631398
12,16.647857
13,16.695619
14,16.583140
15,16.793335
16,16.600405
17,16.799885
18,16.565109
19,16.635459
20,16.589701
21,16.793744
22,16.639320
23,16.696804
24,16.611186
25,16.756080
26,16.515879
27,16.763283
28,16.644727
29,16.685264
30,16.643800
31,16.647844
32,16.600747
33,16.936057
34,16.546696
35,16.684711
36,16.631312
37,16.629702
38,16.603846
39,16.772366
40,16.637153
41,16.655885
42,16.692131
43,16.622132
44,16.582217
45,16.831550
46,16.726883
47,16.585358
48,16.657278
49,16.758304
50,16.466238
51,16.745659
52,16.645117
53,16.755272
54,16.569133
55,16.665449
56,16.603296
57,16.844329
58,16.711882
59,16.549415
60,16.665575
61,16.659708
62,16.561149
63,16.733205
64,16.660554
65,16.822917
66,16.552533
67,16.622967
68,16.637691
69,16.744546
70,16.647465
71,16.672145
72,16.671094
73,16.748112
74,16.554448
75,16.811350
76,16.675764
77,16.641317
78,16.612235
79,16.700463
80,16.503848
81,16.840801
82,16.556478
83,16.659208
84,16.657782
85,16.672147
86,16.602963
87,16.753057
88,16.715387
89,16.778140
90,16.583866
91,16.607216
92,16.573909
93,16.822762
94,16.649908
95,16.648317
96,16.662685
97,16.641190
98,16.571155
99,16.850729
100,16.671150
101,16.561763
102,16.739356
103,16.652229
104,16.531084
105,16.814781
106,16.749234
107,16.522997
108,16.717785
109,16.672005
110,16.558244
111,16.695678
112,16.666775
113,17.434169
114,16.132352
115,16.451389
116,16.580441
117,16.849765
118,16.724771
119,16.586226
120,22.468946
121,10.859648
122,16.651907
123,16.608984
124,16.682656
125,16.820220
126,16.668202
127,16.685307
128,16.446350
129,16.824854
130,16.627030
131,16.624247
132,16.751651
133,16.586698
134,16.682062
135,16.653697
136,16.665811
137,16.742164
138,16.645992
139,16.669910
140,16.546944
141,16.744697
142,16.758619
143,16.567909
144,16.673301
145,16.681544
146,17.259595
147,16.089022
148,16.639109
149,16.676321
150,16.644789
151,16.639551
152,16.600160
153,17.194970
154,16.616827
155,16.510858
156,16.663348
157,16.646382
158,16.688930
159,16.653495
160,16.637559
161,16.726170
162,16.757143
163,16.541019
164,16.578198
165,16.773713
166,16.705571
167,21.124873
168,12.168071
169,16.732695
170,16.529702
171,16.769096
