frame,elapsed_ms
0,16.723717
1,16.633142
2,16.622897
3,16.597917
4,16.791847
5,16.618466
6,16.665980
7,16.688810
8,16.732133
9,16.552090
10,16.722743
11,16.678362
12,16.655010
13,16.665820
14,16.781230
15,16.457546
16,16.885208
17,16.603603
18,16.757991
19,16.670187
20,16.588042
21,16.508998
22,16.807270
23,16.651376
24,16.677030
25,16.765636
26,16.586382
27,16.502104
28,16.840687
29,16.659085
30,16.617947
31,16.626395
32,16.677939
33,16.586054
34,16.769916
35,16.704593
36,16.670545
37,16.744317
38,16.594408
39,16.503469
40,16.737696
41,16.696062
42,16.633623
43,16.662986
44,16.696484
45,16.589196
46,16.797194
47,16.613925
48,16.662673
49,16.672283
50,16.662747
51,16.571943
52,16.762377
53,16.687557
54,16.626588
55,16.640610
56,16.686140
57,16.594710
58,16.755761
59,16.670598
60,16.673872
61,16.654812
62,16.661433
63,16.592328
64,16.812970
65,16.610459
66,16.704812
67,16.608623
68,16.667918
69,16.599312
70,16.743835
71,16.675131
72,16.679202
73,16.679106
74,16.685820
75,16.544167
76,16.746043
77,16.662251
78,16.680073
79,16.655311
80,16.667425
81,16.591158
82,16.798812
83,16.688258
84,16.589408
85,16.744918
86,16.694628
87,16.476748
88,16.885725
89,16.677339
90,16.666394
91,16.595527
92,16.599493
93,16.579762
94,16.789253
95,16.614249
96,16.666431
97,16.786147
98,16.594534
99,16.550131
100,16.764076
101,16.678282
102,16.809074
103,16.632428
104,16.537477
105,16.609119
106,16.812939
107,16.557829
108,16.668266
109,16.674152
110,16.997487
111,16.274367
112,16.766548
113,16.680100
114,16.753601
115,16.557657
116,16.629566
117,16.604534
118,16.818569
119,16.606076
120,16.681161
121,16.731637
122,16.714978
123,16.451325
124,16.746455
125,16.667190
126,16.715206
127,16.639597
128,16.651324
129,16.656609
130,16.828326
131,16.511412
132,16.677479
133,16.765385
134,16.686233
135,16.543392
136,16.750860
137,16.660814
138,16.802585
139,16.514427
140,16.712892
141,16.553925
